label_id,label_type,name,name_type,name_source
81,species,Ovambo Sparrowhawk,common_en,SpeciesMapping_11
81,species,ovaspa2,ml_species_code,SpeciesMapping_11
82,species,Accipiter poliocephalus,scientific,SpeciesMapping_11
83,species,Accipiter poliogaster,scientific,SpeciesMapping_11
83,species,Gray-bellied Hawk,common_en,SpeciesMapping_11
83,species,gybhaw1,ml_species_code,SpeciesMapping_11
84,species,Accipiter rhodogaster,scientific,SpeciesMapping_11
84,species,Tachyspiza rhodogaster,scientific,SpeciesMapping_11
84,species,Vinous-breasted Sparrowhawk,common_en,SpeciesMapping_11
84,species,vibspa1,ml_species_code,SpeciesMapping_11
85,species,Accipiter rufitorques,scientific,SpeciesMapping_11
85,species,Fiji Goshawk,common_en,SpeciesMapping_11
85,species,Tachyspiza rufitorques,scientific,SpeciesMapping_11
85,species,fijgos1,ml_species_code,SpeciesMapping_11
86,species,Accipiter rufiventris,scientific,SpeciesMapping_11
86,species,Rufous-breasted Sparrowhawk,common_en,SpeciesMapping_11
86,species,rucspa2,ml_species_code,SpeciesMapping_11
87,species,Accipiter soloensis,scientific,SpeciesMapping_11
87,species,Chinese Sparrowhawk,common_en,SpeciesMapping_11
87,species,Tachyspiza soloensis,scientific,SpeciesMapping_11
87,species,grfhaw1,ml_species_code,SpeciesMapping_11
88,species,Accipiter striatus,scientific,SpeciesMapping_11
88,species,Sharp-shinned Hawk,common_en,SpeciesMapping_11
88,species,shshaw,ml_species_code,SpeciesMapping_11
89,species,Accipiter superciliosus,scientific,SpeciesMapping_11
89,species,Microspizias superciliosus,scientific,SpeciesMapping_11
89,species,Tiny Hawk,common_en,SpeciesMapping_11
89,species,tinhaw1,ml_species_code,SpeciesMapping_11
91,species,Accipiter tachiro,scientific,SpeciesMapping_11
91,species,Aerospiza tachiro,scientific,SpeciesMapping_11
91,species,African Goshawk,common_en,SpeciesMapping_11
91,species,afrgos1,ml_species_code,SpeciesMapping_11
92,species,Accipiter toussenelii,scientific,SpeciesMapping_11
93,species,Accipiter trinotatus,scientific,SpeciesMapping_11
93,species,Spot-tailed Goshawk,common_en,SpeciesMapping_11
93,species,Tachyspiza trinotata,scientific,SpeciesMapping_11
93,species,sptgos1,ml_species_code,SpeciesMapping_11
94,species,Accipiter trivirgatus,scientific,SpeciesMapping_11
94,species,Crested Goshawk,common_en,SpeciesMapping_11
94,species,Lophospiza trivirgata,scientific,SpeciesMapping_11
94,species,cregos1,ml_species_code,SpeciesMapping_11
95,species,Accipiter ventralis,scientific,SpeciesMapping_11
96,species,Accipiter virgatus,scientific,SpeciesMapping_11
96,species,Besra,common_en,SpeciesMapping_11
96,species,Tachyspiza virgata,scientific,SpeciesMapping_11
96,species,besra1,ml_species_code,SpeciesMapping_11
97,species,Acer circinatum,scientific,SpeciesMapping_11
98,species,Acer macrophyllum,scientific,SpeciesMapping_11
99,species,Acer negundo,scientific,SpeciesMapping_11
100,species,Acer platanoides,scientific,SpeciesMapping_11
101,species,Acer rubrum,scientific,SpeciesMapping_11
102,species,Acer saccharinum,scientific,SpeciesMapping_11
103,species,Acer saccharum,scientific,SpeciesMapping_11
104,species,Aceros corrugatus,scientific,SpeciesMapping_11
104,species,Rhabdotorrhinus corrugatus,scientific,SpeciesMapping_11
104,species,Wrinkled Hornbill,common_en,SpeciesMapping_11
104,species,wrihor1,ml_species_code,SpeciesMapping_11
106,species,Aceros nipalensis,scientific,SpeciesMapping_11
106,species,Rufous-necked Hornbill,common_en,SpeciesMapping_11
106,species,runhor1,ml_species_code,SpeciesMapping_11
107,species,Achaetops pycnopygius,scientific,SpeciesMapping_11
107,species,Rockrunner,common_en,SpeciesMapping_11
107,species,damroc1,ml_species_code,SpeciesMapping_11
108,species,Acherontia atropos,scientific,SpeciesMapping_11
110,species,Acheta domestica,scientific,SpeciesMapping_11
110,species,Acheta domesticus,scientific,SpeciesMapping_11
110,species,House cricket,common_en,SpeciesMapping_11
110,species,t-11863791,ml_species_code,SpeciesMapping_11
110,species,t-5253487,ml_species_code,SpeciesMapping_11
111,species,Acheta hispanicus,scientific,SpeciesMapping_11
112,species,Acheta meridionalis,scientific,SpeciesMapping_11
113,species,Acheta rufopictus,scientific,SpeciesMapping_11
114,species,Acinonyx jubatus,scientific,SpeciesMapping_11
115,species,Acontista concinna,scientific,SpeciesMapping_11
116,species,Acrida ungarica,scientific,SpeciesMapping_11
117,species,Acrididae,scientific,SpeciesMapping_11
117,species,Short-horned Grasshoppers,common_en,SpeciesMapping_11
117,species,t-10526538,ml_species_code,SpeciesMapping_11
118,species,Acridotheres albocinctus,scientific,SpeciesMapping_11
118,species,Collared Myna,common_en,SpeciesMapping_11
118,species,colmyn1,ml_species_code,SpeciesMapping_11
119,species,Acridotheres burmannicus,scientific,SpeciesMapping_11
119,species,Burmese Myna,common_en,SpeciesMapping_11
119,species,vibsta1,ml_species_code,SpeciesMapping_11
120,species,Acridotheres cristatellus,scientific,SpeciesMapping_11
120,species,Crested Myna,common_en,SpeciesMapping_11
120,species,cremyn,ml_species_code,SpeciesMapping_11
121,species,Acridotheres fuscus,scientific,SpeciesMapping_11
121,species,Jungle Myna,common_en,SpeciesMapping_11
